[ 2017-04-01T09:18:03+08:00 ] /vapidity/ | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:18:03+08:00 ] /vapidity/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:18:03+08:00 ] /vapidity/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:19:01+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:19:01+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:19:01+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:21:10+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:21:10+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:21:10+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:22:43+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:22:43+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:22:43+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:22:51+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:22:51+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:22:51+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:23:17+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:23:17+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:23:17+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:26:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:26:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:26:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-04-01T09:26:08+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:26:08+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.009001s ]
[ 2017-04-01T09:26:08+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:26:08+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:27:24+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:27:24+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-04-01T09:27:24+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-04-01T09:27:24+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:27:24+08:00 ] / | SQL: SHOW COLUMNS FROM `questionnaire_collect` [ RunTime:0.006000s ]
[ 2017-04-01T09:27:24+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:27:24+08:00 ] / | SQL: SELECT * FROM `questionnaire_collect` WHERE ( `memberid` = 7 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-04-01T09:27:25+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:27:25+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
